id,source_recipe_code,food_code_org,food_name,amount,unit
0a5cc42f-6260-43eb-b276-3261bedab07f,OSR128,UK-17-367,Salt,0.25,tsp
0a5f7bf3-ca14-4fb3-83a7-afe5794a3475,ASC337,D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",100,g
0a602958-2e0d-4627-9f59-9710ca2c4904,ASC404,UK-17-661,"Butter, unsalted",25,g
0a638b43-5a74-44ba-97ea-c301c3a40c31,ASC220,D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",100,g
0a6aab4a-e115-4b7d-8068-4cdafa43e87f,ASC222,UK-17-661,"Butter, unsalted",2,tsp
0a996f5f-3845-4051-bd78-89b9b0be6485,ASC376,UK-11-1016,"Pizza base, raw",250,g
0aa3d382-ee8d-4aaf-8043-8bab767bdf1b,ASC379,UK-13-829,Garam masala,0.25,tsp
0aae2a8e-fdca-4f86-bff6-23c54165419d,OSR130,G012,"Garlic, small clove (Allium sativum)",1,tsp
0ab10486-e4d4-489c-8da5-6423b7f5ea38,BFP250,G017,"Onion, big (Allium cepa)",30,g
0ab3910b-53b0-4a8b-920f-907734bf5dff,ASC302,M001,"Egg, poultry, whole, raw",50,g
0ac9a67d-f185-4c86-b93f-fb38bfb42fec,ASC170,G017,"Onion, big (Allium cepa)",30,g
0acfd911-d1ae-43fd-bc52-592aa4b55819,ASC192,G012,"Garlic, small clove (Allium sativum)",1.25,g
0ad05680-97ec-433d-a019-d28b39071e5d,ASC172,F006,"Potato, brown skin, big (Solanum tuberosum)",75,g
0adbc3da-614d-47da-9b1e-f7fcff8356a1,ASC002,L002,"Milk, whole, Cow",75,ml
0ae531c8-f05b-4839-af72-e9f664adde24,BFP026,G014,"Ginger, fresh (Zingiber officinale)",5,g
0af491d7-9320-4ff2-af65-0c08af7907ee,ASC358,UK-11-1145,"Bread, white, average",60,g
0af7a311-b505-4922-a73b-5e2f8805ec49,BFP460,UK-17-367,Salt,0.125,tsp
0afdba13-0612-41e6-9895-c7753981a634,OSR062,UK-12-332,"Cream, fresh, single",2,tsp
